Old	New
37049434+; 35524081-; 38892939+; 22073541-; 1779294-; 35648594+; 36340923-; 36000581+	0
37049434+; 35524081-; 38892939+; 22073541-; 1779294-; 35648594+; 36340923-; 42946058+	1
37049434+; 35524081-; 38892939+; 22073541-; 1779294-; 35648594+; 44548047-; 24050849-; 7583045+; 7583048-	2
37049434+; 35524081-; 38892939+; 22073541-; 1779294-; 35648594+; 44548047-; 24050849-; 7583045+; 26766503+	3
37049434+; 35524081-; 38892939+; 39765698-; 1779294-; 35648594+; 36340923-; 36000581+	4
37049434+; 35524081-; 38892939+; 39765698-; 1779294-; 35648594+; 36340923-; 42946058+	5
37049434+; 35524081-; 38892939+; 39765698-; 1779294-; 35648594+; 44548047-; 24050849-; 7583045+; 7583048-	6
37049434+; 35524081-; 38892939+; 39765698-; 1779294-; 35648594+; 44548047-; 24050849-; 7583045+; 26766503+	7
